"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43859","Edit Mileage Claim Test","Surefire suite","Mon Sep 08 12:41:49 IST 2025","passed","Mon Sep 08 12:42:33 IST 2025","gettingStarted.Actingoffice.Test104","Surefire test","gettingStarted.Actingoffice.Test104","MileageClaims_Edit_Test"
"","47596","Create and delete supplier, create invoice for supplier","Surefire suite","Fri Sep 05 15:37:34 IST 2025","passed","Fri Sep 05 15:38:21 IST 2025","gettingStarted.Actingoffice.Test67","Surefire test","gettingStarted.Actingoffice.Test67","Purchase_SupplierAndInvoice_Test"
"","53511","Add a new User","Surefire suite","Tue Sep 09 12:32:45 IST 2025","passed","Tue Sep 09 12:33:38 IST 2025","gettingStarted.Actingoffice.Test168","Surefire test","gettingStarted.Actingoffice.Test168","addUserTest"
"","28462","Refresh reimbursements in Expense Claims","Surefire suite","Tue Sep 09 11:42:26 IST 2025","passed","Tue Sep 09 11:42:54 IST 2025","gettingStarted.Actingoffice.Test156","Surefire test","gettingStarted.Actingoffice.Test156","RefreshReimbursements_Test"
"","25718","Create Estimate & Generate Invoice","Surefire suite","Thu Sep 04 18:37:13 IST 2025","passed","Thu Sep 04 18:37:38 IST 2025","gettingStarted.Actingoffice.Test37","Surefire test","gettingStarted.Actingoffice.Test37","Create_Estimate_And_Invoice"
"","34819","Expense Claims Filter Validation Test","Surefire suite","Mon Sep 08 11:41:21 IST 2025","passed","Mon Sep 08 11:41:56 IST 2025","gettingStarted.Actingoffice.Test94","Surefire test","gettingStarted.Actingoffice.Test94","ExpenseClaims_FilterValidation_Test"
"","35765","Date range filter Test","Surefire suite","Fri Sep 05 12:25:49 IST 2025","passed","Fri Sep 05 12:26:24 IST 2025","gettingStarted.Actingoffice.Test57","Surefire test","gettingStarted.Actingoffice.Test57","Date_Range_Test"
"","39853","Generate Profit and Loss Report","Surefire suite","Tue Sep 09 10:47:02 IST 2025","passed","Tue Sep 09 10:47:42 IST 2025","gettingStarted.Actingoffice.Test139","Surefire test","gettingStarted.Actingoffice.Test139","ProfitAndLossReport_Test"
"","38781","Create Item for Purchase and validate it does not appear in Sales unless enabled","Surefire suite","Fri Sep 05 15:52:53 IST 2025","passed","Fri Sep 05 15:53:31 IST 2025","gettingStarted.Actingoffice.Test68","Surefire test","gettingStarted.Actingoffice.Test68","Purchase_AddItem_Test"
"","42326","Add a shareholder from inside Dividend Voucher","Surefire suite","Fri Sep 05 17:40:28 IST 2025","passed","Fri Sep 05 17:41:10 IST 2025","gettingStarted.Actingoffice.Test75","Surefire test","gettingStarted.Actingoffice.Test75","Dividend_AddShareholder_Test"
"","37784","Edit user's date of birth Test 175","Surefire suite","Tue Sep 09 13:17:18 IST 2025","passed","Tue Sep 09 13:17:56 IST 2025","gettingStarted.Actingoffice.Test175","Surefire test","gettingStarted.Actingoffice.Test175","editUserDOBTest175"
"","23639","Create Credit Note Test","Surefire suite","Thu Sep 04 19:56:38 IST 2025","passed","Thu Sep 04 19:57:02 IST 2025","gettingStarted.Actingoffice.Test46","Surefire test","gettingStarted.Actingoffice.Test46","Create_CreditNote_Test"
